type,danger,before_url,url,thoughts,before,domain,title,time
"ERR_CERT_COMMON_NAME_INVALID`. Это говорит о проблемах с SSL-сертификатом, что может означать, что сайт потенциально опасен. URL-адрес `www.metooo.com` выглядит легитимным, но наличие поддомена `/u/66e6852e9854826d166d8b10` может указывать на переход по сокращённой ссылке. Само сообщение предупреждает о возможности кражи личных данных, что,  делает использование данного ресурса не безопасным.  Сайт не содержит контента 18+, но  его стоит избегать,  пока не будет исправлен сертификат.",11,https://www.metooo.com/u/66e6852e9854826d166d8b10,https://www.metooo.com/u/66e6852e9854826d166d8b10,"Сайт отображает сообщение ""Подключение не защищено"" и ошибку `NET",metooo.com,metooo.com,Title отключен,8.172738075256348
"ERR_CERT_COMMON_NAME_INVALID говорит о том что сайт может не является тем, за кого себя выдает, и данные на нем  могут быть перехвачены.  Велика вероятность фишинга. На сайте отсутствует контент 18+ и это не сервис сокращения ссылок",11,https://nppodyji.env.cz/photo_formats/hohol-severni-bucephala?format=9&retUrl=https://monbusclub.socialandloyal.com/sso/attach?command=attach&broker=ec4e1b949ffc3c3cbe4b689dac41989dbcded38560c31929dd075c3ca9df1ec0&token=8bzqsbyrb90cc4gk48skogskk&checksum=d43ddf641742f60421d5fd6e6dbacc4f9363d0bd7810e9e185010dde3c6574f2&return_url=http://www.www.envylook.com/member/login.html?noMemberOrder=&returnUrl=https://consol-m.ru,https://consol-m.ru,"Сайт отображает предупреждение о небезопасном подключении, указывая на проблемы с сертификатом безопасности. URL-адрес ""consol-m.ru"" не является общеизвестным, и нет информации, позволяющей отнести его к легитимным сервисам или известным компаниям. Отсутствуют явные признаки мошенничества, такие как запросы на оплату, но  наличие ошибки NET",env.cz,consol-m.ru,Title отключен,7.867047548294067
"ERR_CERT_DATE_INVALID, что указывает на проблемы с SSL-сертификатом сайта. Это не является прямым признаком мошенничества, но означает, что передача данных на этот сайт может быть небезопасной. Структура URL предполагает наличие пользовательского профиля на сайте graddata.ru. Заявленный в сообщении браузера факт ""похищения данных"" - явно является потенциальной угрозой для пользователя. ",11,https://graddata.ru/user/touchmile42,https://graddata.ru/user/touchmile42,"Сайт по адресу https://graddata.ru/user/touchmile42 отображает сообщение ""Подключение не защищено"" с ошибкой NET",graddata.ru,graddata.ru,Title отключен,7.798227787017822
" не работает, возможно мошенничество ",11,https://www.diggerslist.com/670ea77134600/about,https://www.diggerslist.com/670ea77134600/about,"Сайт отображает ошибку DNS Origin Error 1016, это говорит о том, что Cloudflare не может разрешить доменное имя diggerslist.com. В URL нет подозрительных символов, но сайт не работает, и нет возможности оценить его содержание. Это может быть временная техническая проблема, но и может быть признаком неработающего мошеннического сайта. На сайте нет признаков 18+ контента. Напрямую сократителем ссылок не является.  ",diggerslist.com,diggerslist.com,Title отключен,7.551127910614014
"ERR_CERT_DATE_INVALID). Это значит, что соединение с сайтом не зашифровано, и данные могут быть перехвачены.  URL-адрес `pet.fish` выглядит не очень подозрительно на первый взгляд, но отсутствие безопасного соединения – тревожный сигнал. Вероятно это форум или сообщество, но с потенциальной уязвимостью.  Нет видимых признаков контента 18+ или мошенничества, но угроза из-за отсутствия защищённого соединения очень высока.",11,https://pet.fish/community/profile/benniefender85,https://pet.fish/community/profile/benniefender85,"Сайт отображает сообщение об ошибке ""Подключение не защищено"", указывая на проблему с сертификатом безопасности (NET",pet.fish,pet.fish,Title отключен,8.0837721824646
"ERR_CERT_DATE_INVALID).  Это означает, что сайт не использует HTTPS, что является базовым требованием для безопасности пользовательских данных. URL-адрес выглядит как подстраница какого-то сайта (thehomeautomationhub.com), но наличие ""members"" и ""activity"" в пути может указывать на профиль пользователя, что в целом, не вызывает прямого подозрения на мошенничество. Однако, отсутствие защиты данных при передаче, является серьезной проблемой. Сайт не содержит 18+ контента, казино или сократитель ссылок, но вызывает подозрения из-за проблем с сертификатом",11,https://www.google.co.cr/url?q=https://www.thehomeautomationhub.com/members/creamnews2/activity/130102,https://www.thehomeautomationhub.com/members/creamnews2/activity/130102,"Сайт отображает сообщение о том, что подключение не защищено, и имеется ошибка сертификата (NET",co.cr,thehomeautomationhub.com,Title отключен,6.8664374351501465
"ERR_CERT_DATE_INVALID""). URL адрес ""opencbc.com"" выглядит потенциально подозрительно, так как он не является распространенным или известным доменом. Наличие параметров в URL (""home.php?mod=space&uid=3750815"") также является необычным для главной страницы и может указывать на попытки отслеживания или перенаправления. Из изображения понятно, что этот сайт не является интернет магазином или службой доставки, он также не является казино или сайтом с 18+ контентом. Сайт не является сократителем ссылок.  Присутствует предупреждение браузера о небезопасности сайта.  ",11,https://opencbc.com/home.php?mod=space&uid=3750815,https://opencbc.com/home.php?mod=space&uid=3750815,"Сайт отображает предупреждение о небезопасном подключении, вызванное ошибкой сертификата (""NET",opencbc.com,opencbc.com,Title отключен,7.858461380004883
"ERR_CERT_COMMON_NAME_INVALID). Это означает, что соединение с сайтом не шифруется, и данные, передаваемые между пользователем и сайтом, могут быть перехвачены. URL-адрес выглядит как профиль пользователя на сайте profiteplo.com, что может быть частью легитимного веб-ресурса, но из-за ошибки сертификата, сайт не может быть признан безопасным. Наличие этой ошибки делает сайт потенциально опасным, так как данные пользователя могут быть скомпрометированы. ",11,https://profiteplo.com/user/systemberet16,https://profiteplo.com/user/systemberet16,"Сайт отображает предупреждение браузера о небезопасном подключении, указывая на проблему с SSL-сертификатом (NET",profiteplo.com,profiteplo.com,Title отключен,7.616855144500732
мошенничество,10,http://mbyc.dk/proxy.php?link=https://expressdrivinglicense.com,https://expressdrivinglicense.com,"Сайт утверждает, что продаёт водительские права Великобритании, в том числе ""Fake UK Licence"". Это незаконно. URL ""expressdrivinglicense.com"" не выглядит как официальный правительственный или легитимный. На сайте есть кнопки ""Buy"", что говорит о продаже незаконных услуг. Содержимое сайта однозначно говорит о мошенничестве",mbyc.dk,expressdrivinglicense.com,Title отключен,8.123708486557007
мошенничество,10,https://tutti.page51725.cfd/260680912,https://tutti.page51725.cfd/260680912,"Сайт имеет доменное имя `tutti.page51725.cfd`, что выглядит подозрительно. Домен `page51725.cfd` явно не принадлежит известному ресурсу `tutti.ch`. На странице сообщается о ""получении оплаты от покупателя"" и предлагается ввести данные банковской карты, что является распространенной схемой мошенничества.  Чат поддержки, требующий данные банковской карты, подтверждает это.  Содержимого 18+ на сайте не обнаружено, так же он не является сервисом сокращения ссылок",page51725.cfd,page51725.cfd,Title отключен,7.645067930221558
казино,10,http://sukawatee.com/wp-content/themes/eatery/nav.php?-Menu-=https://www.casinosite88.com,http://sukawatee.com/wp-content/themes/eatery/nav.php?-Menu-=https://www.casinosite88.com,"Сайт с URL casinosite88.com  имеет в названии домена слово ""casino"", и основное содержимое страницы также связано с казино, а именно: ""казино"", ""онлайн-казино"", ""бакара"", ""слот"", ""рулетка"", ""блэкджек"". Иероглифы, вероятно, корейского языка также относятся к казино.  Сайт явно не является сервисом сокращения ссылок, новостным сайтом, форумом, интернет-магазином или службой доставки. Содержимое прямо указывает на азартные игры, что автоматически делает его непригодным для несовершеннолетних. Сайт не принадлежит известной компании и явно предназначен для продвижения азартных игр. ",sukawatee.com,sukawatee.com,Title отключен,9.160273313522339
мошенничество,10,https://api.xptr.xyz/index.php,https://api.xptr.xyz/index.php,"Сайт отображает предупреждение ""Опасный сайт"" от браузера. Сообщение явно указывает, что сайт может представлять угрозу, пытаясь заставить установить ПО или получить личные данные, такие как пароль, номер телефона и данные кредитной карты. URL-адрес `api.xptr.xyz` выглядит подозрительно, не похож на известный домен.  Сайт  не предоставляет никаких признаков легитимного содержания, а только предупреждение о потенциальной опасности",xptr.xyz,xptr.xyz,Title отключен,6.6453986167907715
казино,10,http://www.turbomonitor.com/Legal/ChangeCulture?lang=en-US&returnUrl=https://www.casinosite88.com,https://www.casinosite88.com,"Сайт имеет URL `casinosite88.com`. Адрес не имеет явных признаков мошенничества, таких как странные поддомены или символы. На главной странице присутствует явное упоминание казино, с названиями ""카지노 박스"" (казино бокс) и тематическими разделами, такими как слоты, рулетка и блекджек. Сайт явно посвящен азартным играм и не является легитимным сайтом известной компании, а также не является новостным, форумом или сократителем ссылок. Содержит 18+ контент",turbomonitor.com,casinosite88.com,Title отключен,8.825719118118286
мошенничество,10,https://gls-dk.wendao.shop/get/57BN03YO59Q58,https://gls-dk.wendao.shop/get/57BN03YO59Q58,"Сайт отображает сообщение об опасности, выданное браузером, предупреждающее пользователя о том, что сайт может быть использован злоумышленниками для кражи личных данных или установки вредоносного ПО. URL-адрес содержит подозрительный домен ""wendao.shop"", который не является доверенным доменом службы доставки GLS.  Наличие сообщения об опасности от браузера и сам домен указывают на высокую вероятность мошенничества",wendao.shop,wendao.shop,Title отключен,7.057634353637695
мошенничество,10,https://expressdrivinglicense97836.dgbloggers.com/31968849/it-is-the-history-of-buy-category-b-licence-online-in-10-milestones,https://expressdrivinglicense97836.dgbloggers.com/31968849/it-is-the-history-of-buy-category-b-licence-online-in-10-milestones,"Сайт размещен на поддомене dgbloggers.com, что само по себе подозрительно, так как это не является общеизвестной компанией. URL-адрес содержит длинную числовую последовательность и фразу, связанную с покупкой водительских прав онлайн, что вызывает серьезные подозрения. Само название сайта ""expressdrivinglicense9783"" также звучит как попытка быстрого оформления документов. Заголовок сайта ""It Is The History Of Buy Category B Licence Online In 10 Milestones"" подтверждает подозрения о мошенничестве, поскольку покупка водительских прав онлайн - это незаконно и обычно является признаком мошеннических схем. На сайте присутствует меню из ""HOME"", ""SIGN IN"", ""REGISTER"", ""REPORT PAGE"", ""CONTACT"", что обычно для сайтов предлагающих услуги. Однако в данном случае это скорее признак ловушки для сбора личных данных. Контент сайта не выглядит как новостной или развлекательный, и определенно не является 18+ контентом или сервисом сокращения ссылок",dgbloggers.com,dgbloggers.com,Title отключен,9.595364570617676
мошенничество,10,https://tori.central42.life/receive/order/8yR2VDCPQQ1?r=0x3,https://tori.central42.life/receive/order/8yR2VDCPQQ1?r=0x3,"Сайт предупреждает о потенциальной опасности, выдавая сообщение ""Опасный сайт"". URL содержит подозрительный поддомен ""central42.life"", который не принадлежит известной компании. Сообщение предупреждает о возможном обмане и краже личных данных. Похоже, что браузер обнаружил попытку фишинга или другой вид мошенничества, связанный с получением персональных данных, что характерно для мошеннических сайтов",central42.life,central42.life,Title отключен,6.959258556365967
казино,10,http://itrgworld.com/get_video/aHR0cHM6Ly93d3cuY2FzaW5vc2l0ZTg4LmNvbQ,http://itrgworld.com/get_video/aHR0cHM6Ly93d3cuY2FzaW5vc2l0ZTg4LmNvbQ,"Сайт casinosite88.com явно является сайтом казино. Это подтверждается как доменом, так и содержанием главной страницы. На странице присутствует логотип ""CASINO BOX"", а также разделы с названиями различных азартных игр (казино, онлайн-казино, баккара, слоты, рулетка, блэкджек). Большая часть текста на сайте написана на корейском языке. URL не содержит признаков маскировки под легитимный ресурс. Сам сайт не запрашивает оплату напрямую, но он рекламирует услуги казино, что является потенциально опасным ",itrgworld.com,itrgworld.com,Title отключен,8.833159923553467
мошенничество,10,http://mestrecarloscardoso.com.br/link.asp?obanner=14&olink=https://www.casinosite88.com,http://mestrecarloscardoso.com.br/link.asp?obanner=14&olink=https://www.casinosite88.com,"URL перенаправляет с `mestrecarloscardoso.com.br` на `https://www.casinosite88.com`.  `mestrecarloscardoso.com.br` выглядит как легитимный сайт, но  переадресация на `casinosite88.com`, содержащий слово ""casino""  явно указывает на мошенничество или как минимум нежелательный контент. На скриншоте видно что страница mestrecarloscardoso.com.br пустая и  происходит загрузка, что говорит о перенаправлении, это подтверждает подозрения. Никакого контента 18+ на основном сайте не видно, так как происходит перенаправление",com.br,com.br,Title отключен,7.65738320350647
казино,10,https://itmag.pro/go.php?uri=aHR0cHM6Ly9hdmFudGlzdmVyb25hLmNvbS8,https://itmag.pro/go.php?uri=aHR0cHM6Ly9hdmFudGlzdmVyb25hLmNvbS8,"URL ведет через редирект itmag.pro, но конечный адрес hurricanecharleys.com, что выглядит подозрительно. Сайт  содержит слова ""slot gacor"", ""maxwin"", ""judi slot"" и прочие, характерные для онлайн-казино.  Сайт сообщает о возможности легкого выигрыша, что типично для мошеннических сайтов казино. Содержание сайта предполагает игры на деньги и содержит контент 18+",itmag.pro,itmag.pro,Title отключен,8.12797236442566
мошенничество,10,https://willlhaben-at.page30567.com/get/219232409,https://willlhaben-at.page30567.com/get/219232409,"Сайт имеет подозрительный URL, включающий домен page30567.com, что не характерно для легитимных сайтов, и поддомен ""willlhaben-at"", что может быть попыткой выдать себя за сайт Willhaben (австрийская торговая площадка). Страница явно идентифицирована браузером как ""Опасный сайт"" и предупреждает о возможности кражи личных данных. На странице нет содержимого, но есть предупреждение от браузера, что это мошеннический сайт.",page30567.com,page30567.com,Title отключен,7.411558628082275
казино,10,http://service.saddleback.com/MediaCenter/Herd/Login/Default.aspx?returnurl=https://www.casinosite88.com,http://service.saddleback.com/MediaCenter/Herd/Login/Default.aspx?returnurl=https://www.casinosite88.com,"Сайт  ""casinosite88.com"" явно связан с азартными играми, что подтверждается названием ""Casino Box"" и корейскими словами ""казино"", ""онлайн-казино"", ""бакара"" и т.д. URL  не содержит признаков легитимного сервиса, а скорее указывает на сайт, который продвигает азартные игры.  Вся информация на сайте касается казино.",saddleback.com,saddleback.com,Title отключен,8.381114959716797
казино,10,http://www.orthlib.ru/out.php?url=https://www.casinosite88.com,https://www.casinosite88.com,"Сайт casinosite88.com явно является сайтом казино, о чем свидетельствуют надписи ""казино"" и другие термины азартных игр на корейском языке, а также общий дизайн страницы. Заголовок ""카지노사이트"" также подтверждает это. Доменное имя не вызывает доверия, нет указаний на известную компанию. Наличие перевода на русский язык, скорее всего, указывает на потенциальную аудиторию, на которую рассчитан сайт. Общий вид говорит о том, что сайт является казино.",orthlib.ru,casinosite88.com,Title отключен,8.236694097518921
казино,10,https://datataipei2.ambarita.org,https://datataipei2.ambarita.org,"Сайт имеет подозрительный URL адрес ""datataipei2.ambarita.org"", который не является адресом известной компании. Сам сайт содержит множество ссылок на азартные игры, такие как ""TOGEL-SLOT-POKER-CASINO-SPORTBOOK"". Также присутствуют упоминания бонусов и розыгрышей, что является распространенным приемом на мошеннических сайтах. Логотипы похожи на казино, а так же упоминание ставок и выигрышей. На сайте явно присутствуют элементы казино и азартных игр",ambarita.org,ambarita.org,Title отключен,8.668829441070557
мошенничество,10,http://g.oog.l.eemail.2.1@laraquejec197.0jo8.23@www.mondaymorninginspiration@Sus.ta.i.n.j.ex.k@fullgluestickyriddl.edynami.c.t.r.a@johndf.gfjhfgjf.ghfdjfhjhjhjfdgh@sybbr>r.eces.si.v.e.x.g.z@leanna.langton@c.o.nne.c.t.tn.tu@Go.o.gle.email.2.\\\\\\\\\\\\\\\\n1@sarahjohnsonw.estbrookbertrew.e.r@hu.fe.ng.k.Ua.ngniu.bi..uk41@Www.Zanele@silvia.woodw.o.r.T.h@meng.luc.h.e.n.4@hu.fe.ng.k.Ua.ngniu.bi..uk41@Www.Zanele@silvia.woodw.o.r.t.h@H.att.ie.M.c.d.o.w.e.ll2.56.6.3@burton.rene@s.jd.u.eh.yds.g.524.87.59.68.4@i.nsult.i.ngp.a.T.l@okongwu.chisom@vi.rt.u.ali.rd.j@H.Att.Ie.M.C.D.O.W.E.Ll2.56.6.3@Burton.Rene@fullgluestickyriddl.edynami.c.t.r.a@johndf.gfjhfgjf.ghfdjfhjhjhjfdgh@sybbr>r.eces.si.v.e.x.g.z@leanna.langton@c.o.nne.c.t.tn.tu@Go.o.gle.email.2.\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\n1@sarahjohnsonw.estbrookbertrew.e.r@hu.fe.ng.k.Ua.ngniu.bi..uk41@Www.Zanele@silvia.woodw.o.r.t.h@asex.y.52.1@leanna.langton@c.or.r.idortpkm@johndf.gfjhfgjf.ghfdjfhjhjhjfdgh@sybbr>r.eces.si.v.e.x.g.z@leanna.langton@c.o.nne.c.t.tn.tu@Go.o.gle.email.2.\\\\\\\\\\\\\\\\n1@sarahjohnsonw.estbrookbertrew.e.r@hu.fe.ng.k.Ua.ngniu.bi..uk41@Www.Zanele@silvia.woodw.o.r.t.h@switc.h.ex.cb@mengl.uch.en1@britni.vieth_151045@Zel.m.a.Hol.m.e.s84.9.83@n.oc.no.x.p.A.rk.e@ex.p.lo.si.v.edhq.g@Hu.feng.ku.angn.i.ub.i...u.k37@coolh.ottartmassflawles.s.p.a.n.e.r.e.e@hu.fe.ng.k.ua.ngniu.bi..uk41@www.Zanele@silvia.woodw.o.r.t.h@simplisti.cholemellowlunchroom.e@zvanovec.net/phpinfo.php?a[]=<a+href=https://www.pokertube.com/>poker+Online</a><meta+http-equiv=refresh+content=0;url=https://www.pokertube.com/+/>,http://g.oog.l.eemail.2.1@laraquejec197.0jo8.23@www.mondaymorninginspiration@Sus.ta.i.n.j.ex.k@fullgluestickyriddl.edynami.c.t.r.a@johndf.gfjhfgjf.ghfdjfhjhjhjfdgh@sybbr>r.eces.si.v.e.x.g.z@leanna.langton@c.o.nne.c.t.tn.tu@Go.o.gle.email.2.\\\\\\\\\\\\\\\\n1@sarahjohnsonw.estbrookbertrew.e.r@hu.fe.ng.k.Ua.ngniu.bi..uk41@Www.Zanele@silvia.woodw.o.r.T.h@meng.luc.h.e.n.4@hu.fe.ng.k.Ua.ngniu.bi..uk41@Www.Zanele@silvia.woodw.o.r.t.h@H.att.ie.M.c.d.o.w.e.ll2.56.6.3@burton.rene@s.jd.u.eh.yds.g.524.87.59.68.4@i.nsult.i.ngp.a.T.l@okongwu.chisom@vi.rt.u.ali.rd.j@H.Att.Ie.M.C.D.O.W.E.Ll2.56.6.3@Burton.Rene@fullgluestickyriddl.edynami.c.t.r.a@johndf.gfjhfgjf.ghfdjfhjhjhjfdgh@sybbr>r.eces.si.v.e.x.g.z@leanna.langton@c.o.nne.c.t.tn.tu@Go.o.gle.email.2.\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\n1@sarahjohnsonw.estbrookbertrew.e.r@hu.fe.ng.k.Ua.ngniu.bi..uk41@Www.Zanele@silvia.woodw.o.r.t.h@asex.y.52.1@leanna.langton@c.or.r.idortpkm@johndf.gfjhfgjf.ghfdjfhjhjhjfdgh@sybbr>r.eces.si.v.e.x.g.z@leanna.langton@c.o.nne.c.t.tn.tu@Go.o.gle.email.2.\\\\\\\\\\\\\\\\n1@sarahjohnsonw.estbrookbertrew.e.r@hu.fe.ng.k.Ua.ngniu.bi..uk41@Www.Zanele@silvia.woodw.o.r.t.h@switc.h.ex.cb@mengl.uch.en1@britni.vieth_151045@Zel.m.a.Hol.m.e.s84.9.83@n.oc.no.x.p.A.rk.e@ex.p.lo.si.v.edhq.g@Hu.feng.ku.angn.i.ub.i...u.k37@coolh.ottartmassflawles.s.p.a.n.e.r.e.e@hu.fe.ng.k.ua.ngniu.bi..uk41@www.Zanele@silvia.woodw.o.r.t.h@simplisti.cholemellowlunchroom.e@zvanovec.net/phpinfo.php?a[]=<a+href=https://www.pokertube.com/>poker+Online</a><meta+http-equiv=refresh+content=0;url=https://www.pokertube.com/+/>,"URL выглядит крайне подозрительно, содержит множество вложенных поддоменов и странных символов, что нехарактерно для легитимных сайтов.  Присутствуют слова 'google', 'email', что может быть попыткой фишинга, выдавая себя за Гугл. В конце url-адреса есть перенаправление на pokertube.com. На странице изображена домашняя страница google, которая не соответствует URL. Страница содержит только поисковую строку. 18+ контента нет.",e@zvanovec.net,e@zvanovec.net,Title отключен,7.902869701385498
казино,10,https://bot.ucoz.ua/go?https://www.casinosite88.com,https://bot.ucoz.ua/go?https://www.casinosite88.com,"Сайт имеет URL `casinosite88.com`, что уже намекает на его направленность. Заголовок содержит слово ""казино"", и контент явно указывает на азартные игры. В меню есть разделы ""казино-сайт"", ""онлайн-казино"", ""бакара"", ""слоты"", ""рулетка"", ""блэкджек"". Это явно сайт казино, что противоречит условиям безопасного сайта. В сочетании с тем что он переведен с помощью Google translate, это подтверждает что сайт  с большой вероятностью не легитимный",ucoz.ua,ucoz.ua,Title отключен,8.470462799072266
казино,10,https://astral-pro.com/go?https://www.casinosite88.com,https://astral-pro.com/go?https://www.casinosite88.com,"Сайт имеет адрес casinosite88.com, что сразу указывает на его направленность – казино. Видно логотип ""CASINO BOX"" и текст на корейском, что еще больше подкрепляет это. На странице предлагаются различные игры казино. Нет никаких признаков, что это легитимный ресурс, скорее наоборот, является специализированным ресурсом с азартными играми. Контент явно связан с азартными играми",astral-pro.com,astral-pro.com,Title отключен,8.251453161239624
казино,10,http://www.lovely0smile.com/?Li=https://www.casinosite88.com,http://www.lovely0smile.com/?Li=https://www.casinosite88.com,"Сайт явно относится к азартным играм. В URL есть ""casinosite88"", что прямо говорит о казино. Также на странице видны надписи на корейском языке, связанные с казино, включая ""Казино 박스"" и различные виды азартных игр. Признаков мошенничества в смысле требования оплаты на этом этапе не видно, но сам сайт является онлайн казино, что противоречит моему определению хорошего сайта",lovely0smile.com,lovely0smile.com,Title отключен,8.29555368423462
мошенничество,10,https://vinted.confirm1324673.info/cash70451779,https://vinted.confirm1324673.info/cash70451779,"Сайт имеет странный URL-адрес, `vinted.confirm1324673.info`, который не является официальным доменом Vinted. Сообщение ""Проверка выполнена успешно"" и ""Ожидание ответа"" выглядят подозрительно, так как на настоящем сайте Vinted таких сообщений нет. Это характерно для фишинговых страниц, которые имитируют легитимные сайты для кражи учетных данных или денег. Скорее всего, сайт пытается убедить пользователя в том, что его аккаунт ""проверяется"" и что нужно ввести данные или совершить другие действия для ""подтверждения"", что в конечном итоге приведет к краже данных. Отсутствие title также вызывает подозрения.",confirm1324673.info,confirm1324673.info,Title отключен,7.589343547821045
мошенничество,10,https://marylandmedmalpracticelawyer.com/__media__/js/netsoltrademark.php?d=www.asian-kor.com,https://marylandmedmalpracticelawyer.com/__media__/js/netsoltrademark.php?d=www.asian-kor.com,"URL имеет сложную структуру с поддиректорией ""/_media__/js/netsoltrademark.php"", что подозрительно, так как это нетипично для обычных веб-сайтов. Также замечено, что ""marylandmedmalpracticelawyer.com"" вероятно используется как редирект на другой сайт ""asian-kor.com"", что также является признаком мошеннической активности. Браузер отображает предупреждение ""Подключение не защищено"" с ошибкой сертификата, что указывает на потенциальную угрозу безопасности. Заголовок сайта отсутствует или не удалось получить его. В целом, данная ситуация является опасной, так как пытается скрыть адрес перенаправления.",marylandmedmalpracticelawyer.com,marylandmedmalpracticelawyer.com,Title отключен,7.03863000869751
мошенничество,10,https://vinted.find384.shop/receive/order/b_ghCrCyOji?r=0x3,https://vinted.find384.shop/receive/order/b_ghCrCyOji?r=0x3,"Сайт имеет URL адрес `vinted.find384.shop`, который вызывает подозрения. Домен `find384.shop` не является официальным доменом Vinted, что указывает на фишинговую попытку.  Путь `/receive/order/` наводит на мысль о фальшивой странице получения заказа, что типично для мошеннических схем, когда имитируется получение средств за оплату доставки или товара.  Сам сайт пуст, что также подозрительно.  Отсутствие контента на странице, которая должна быть страницей получения заказа, является значительным признаком мошенничества.",find384.shop,find384.shop,Title отключен,7.739013433456421
казино,10,http://tverv-realty.citystar.ru/go?to=http://casinosite88.com,http://tverv-realty.citystar.ru/go?to=http://casinosite88.com,"URL ведет на casinosite88.com. Содержимое сайта, включая текст на корейском языке, явно указывает на то, что это сайт казино.  В тексте и элементах навигации упоминаются ""카지노"" (казино), ""온라인카지노"" (онлайн-казино), ""바카라사이트"" (сайт баккара) и другие термины, связанные с азартными играми. На сайте не видно никаких признаков, указывающих на легитимную компанию или иной не азартный контент, нет подозрительных запросов на оплату, но весь дизайн и контент посвящен азартным играм",citystar.ru,citystar.ru,Title отключен,9.203830242156982
казино,10,http://esvc000614.wic059u.server-web.com/includes/fillFrontArrays.asp?return=https://www.casinosite88.com,http://esvc000614.wic059u.server-web.com/includes/fillFrontArrays.asp?return=https://www.casinosite88.com,"Сайт открывается по адресу casinosite88.com. Заголовок окна браузера содержит текст на корейском языке, предположительно ""카지노사이트 카지노 BEST 검"". На странице доминирует изображение игрового стола, а также крупный логотип ""CASINO BOX"" и заголовки разделов на корейском, связанные с различными азартными играми. Присутствует выпадающее меню для выбора языка – корейский и русский. Учитывая содержание сайта, его доменное имя и представленную информацию, это явный сайт онлайн-казино. Наличие русского языка может сигнализировать о том, что он может быть ориентирован на русскоязычную аудиторию. Данный сайт имеет признаки казино и не является легитимным",server-web.com,server-web.com,Title отключен,8.714823007583618
мошенничество,10,https://e-interac-51670395.ruuuidd7367.com/check/?id=QrRj6qpGSC,https://e-interac-51670395.ruuuidd7367.com/check/?id=QrRj6qpGSC,"URL содержит подозрительную структуру: явно сгенерированное название с набором цифр и букв, а также использование домена .ruuuidd7367.com, что не является типичным для легитимных сайтов. Кроме того, название ""e-interac"" в начале URL намекает на попытку имитации известного сервиса Interac, но сам домен не связан с ним. Страница отображает сообщение об ошибке ""error"" и повторяет URL. Это указывает на возможную попытку фишинга или другой вид мошенничества, так как нет контента на странице, а только ошибка. Нет 18+ контента и не является сервисом сокращения ссылок ",ruuuidd7367.com,ruuuidd7367.com,Title отключен,7.40247106552124
